StackTool
"
Pytorch
Tensorflow
Python"
"
Kotlin
Spring Framework"
NaN
NaN
NaN
"
Confluence
Git
JIRA
AWS"
"
BitBucket
Git
JIRA
Azure
AWS
DevOps
ITIL
Kubernetes"
NaN
"
SQL"
NaN
NaN
"
Zeplin
Git
Github
Trello
Android
Amazon Web Service
Firebase
Flask
iOS
Linux
MySQL
HTML
Java
JavaScript
Python
SQL
Google Analytics
AWS
Nginx
Notion"
NaN
NaN
"
Power BI
QA 엔지니어링"
"
Android
Kotlin
Android Studio
Flutter
Restful API"
NaN
"
Python
R
AWS"
"
Github
Android
Django
React
JavaScript
Python
AWS
GIS
ML"
NaN
"
React
Java
Vue.JS"
"
Hadoop
MongoDB
MySQL
Spark
Python
R
Tableau
Jenkins
PostgreSQL
Neo4j"
"
Hadoop
MongoDB
MySQL
Spark
Python
R
Tableau
Jenkins
PostgreSQL
Neo4j"
"
Azure
AWS
GCP"
"
GitLab
CSS
TypeScript
React.js
Next.js"
"
Framer
Github
JIRA
Slack
React
Node.js
Python
TypeScript
AWS
Docker
OpenCV
NumPy
React Native
Figma
Notion
Nest.js"
NaN
"
Linux
Python
SQL
AWS
Docker
Shell Scripting
RDBMS
ElasticSearch"
NaN
NaN
NaN
NaN
NaN
"
Git
Flask
Google Cloud Platform
Redis
Python
AWS
Docker
PostgreSQL
Kubernetes"
"
Git
Python
SQL
AWS
GCP"
"
Azure
.NET
Google Cloud Platform
Hadoop
Pytorch
Tensorflow
Java
Python
Shell
SQL
Google Analytics
AWS
ETL
NoSQL
VBA
데이터 마트
MSSQL"
"
Pytorch
Tensorflow
Python"
"
ExpressJS
MongoDB
React
JavaScript
Kotlin
Node.js
TypeScript
AWS
HTML5
NoSQL
CSS3
NodeJS
GCP
AAC
React.js
MSSQL
React Native"
"
Git
Python
SQL
AWS
GCP"
"
Git
Python
SQL
AWS
GCP"
NaN
"
Linux
QA 엔지니어링"
"
Linux
QA 엔지니어링"
"
React
Node.js
AWS
React.js
React Native
Next.js
Nest.js"
"
Framer
Github
JIRA
Slack
React
Node.js
Python
TypeScript
AWS
Docker
OpenCV
NumPy
React Native
Figma
Notion
Nest.js"
"
Framer
Github
JIRA
Slack
React
Node.js
Python
TypeScript
AWS
Docker
OpenCV
NumPy
React Native
Figma
Notion
Nest.js"
NaN
"
MySQL
JavaScript
Python"
"
Python
SQL"
NaN
NaN
"
Hadoop
iOS
MySQL
Spark
Java
Kotlin
Python
SQL
Tableau
AWS
EMR
ETL
Spring Framework"
"
JavaScript
TypeScript
React.js
React Native
Next.js"
"
Linux
Node.js
Python"
NaN
NaN
NaN
"
AWS
BGP
Kubernetes"
"
Google Cloud Platform
Hadoop
Spark"
"
Google Cloud Platform
Hadoop
Spark"
"
Linux
Python
SQL
AWS
Docker
Shell Scripting
RDBMS
ElasticSearch"
"
Linux
Oracle
Java
Python
ETL
JSP
ElasticSearch
Spring Boot"
"
Java
Kotlin
Python
Scala
SQL
AWS
GCP"
"
Android
iOS
Kotlin
ObjectiveC
Swift"
"
React
Python
Kubernetes"
"
Java
Python
AWS
NodeJS
Spring Boot"
"
Git
Android
Hadoop
iOS
Spark
Java
JavaScript
Kotlin
Python
Swift
TypeScript
MVVM
AWS
Docker
Spring Framework
Android Studio
React.js
Figma
Kubernetes"
NaN
"
GitLab
MySQL
Python
Jenkins
Docker"
"
Hadoop
Linux
MongoDB
MySQL
Spark
Python
AWS"
"
Python
SQL
Apache Spark"
NaN
NaN
NaN
NaN
"
Github
Flask
C#
Python
C
AWS
Docker
WPF
PACS
HL7
DICOM"
NaN
NaN
"
Git
Spark
Python
AWS
Docker"
"
Android
Kotlin
Android Studio
Flutter
Restful API"
"
Android
Kotlin
Android Studio
Flutter
Restful API"
"
Android
Kotlin
Android Studio
Flutter
Restful API"
NaN
"
Git
MySQL
Redis
Node.js
AWS
GCP"
"
MySQL
Oracle
React
Java
JavaScript
Kotlin
Node.js
Python
TypeScript
NoSQL
Docker
RDBMS
ElasticSearch
Spring Framework"
NaN
NaN
NaN
NaN
"
React
Node.js
Python
Zapier
Vue.JS"
NaN
"
Confluence
Git
ObjectiveC
Python
Swift
MVVM
Apple Software
React Native
Figma
Restful API"
"
C#
Delphi
Kotlin
C
MFC"
"
Git
Linux
MySQL
Redis
Java
Python
SQL
Docker
Spring Framework"
"
Github
Azure
Kotlin
Python
AWS
Jenkins
ETL
Spring Framework
GCP
Golang
Spring Boot
Kubernetes"
NaN
"
Github
JIRA
MySQL
HTML
JavaScript
Python
SQL
AWS"
"
Django
AWS
DBT
FastAPI"
"
Confluence
JIRA
Java
Kotlin
Python"
NaN
"
데이터 분석
분석 서비스
학술 연구
학술 출판"
NaN
"
C / C++
Python
SQL"
"
Confluence
Github
JIRA
Slack
Azure
HTML
Python
Scala
SQL
AWS
ETL
GCP
GCPs
React.js
Next.js"
NaN
NaN
"
React
Java
Python
jQuery
NodeJS"
"
Data Analysis
SCM
Product Management "
"
GraphQL
MySQL
JavaScript
Node.js
Python
TypeScript
AWS
Nest.js"
"
Git
Flask
Google Cloud Platform
Redis
Python
AWS
Docker
PostgreSQL
Kubernetes"
"
Git
Flask
Google Cloud Platform
Redis
Python
AWS
Docker
PostgreSQL
Kubernetes"
"
Git
Python
SQL
AWS"
"
Django
Flask
Linux
MySQL
Oracle
NoSQL"
"
Git
React
CSS
JavaScript
TypeScript
AWS"
NaN
"
Azure
.NET
Python
Power BI
ETL
SSIS
SSAS"
"
CAD
Revit
3D 모델링
BIM
3D 렌더링
Photoshop Elements"
"
Hadoop
MongoDB
MySQL
Spark
Python
R
Tableau
Jenkins
PostgreSQL
Neo4j"
"
Git
Node.js
Python
SQL
Docker
PostgreSQL"
"
Git
JIRA
VueJS
Java
Kotlin
Docker
JPA
OAuth
Spring Boot
Kubernetes
Restful API"
"
GitLab
CSS
TypeScript
React.js
Next.js"
"
Java"
"
AWS"
"
Linux
Python"
"
Linux
Python"
"
Github
MongoDB
Python
AWS"
"
Azure
C / C++
개발
SharePoint"
"
Linux
Oracle"
"
Linux
Oracle"
"
MySQL
Python
AWS
NodeJS"
"
Linux
보안
인프라
정보 보안
Windows 서버
정보관리
NAS
솔루션 개발
백신
DLP
보안 정책
보안 관리
보안 교육"
