StackTool_ENG
"pytorch, tensorflow, python"
"hadoop, mongodb, mysql, spark, python, tableau, jenkins, postgresql, neo4j"
"hadoop, mongodb, mysql, spark, python, tableau, jenkins, postgresql, neo4j"
"azure, aws, gcp"
"gitlab, css, typescript, react.js, next.js"
"python, docker, tensorflow, pytorch"
"python, sql, ml, dl"
"sql, nlp"
"react, java, vue.js"
"sql, nlp"
ai
"java, hadoop"
"python, sql"
ai
"aws, kubernetes"
python
"deep, learning"
"python, sql"
""
"python, aws"
"github, android, django, react, javascript, python, aws, gis, ml"
"kotlin, spring, framework"
"bitbucket, git, jira, azure, aws, devops, itil, kubernetes"
sql
"confluence, git, jira, aws"
"zeplin, git, github, trello, android, amazon, web, service, firebase, flask, ios, linux, mysql, html, java, javascript, python, sql, google, analytics, aws, nginx, notion"
"power, bi, qa"
"android, kotlin, android, studio, flutter, restful, api"
"python, sql"
ai
"python, pytorch"
python
""
"python, aws, sql, gcp, tableau, amplitude"
ai
"python, sql"
"git, graphql, flutter"
""
"sql, spark, tableau, pandas, power, bi, numpy"
"c#, c++, c++"
"css, python"
"sql, dm"
"python, sql, tableau, tensorflow, pytorch, pandas, ml"
python
"ai, gcp, ml"
""
"python, sql"
"excel, python, sql, power, bi"
"crm, sql"
sql
"python, sql"
"sql, tableau"
""
""
"python, sql, ga"
""
""
python
"excel, python, mysql"
"python, sql, kpi"
"java, python, sql, nosql, spark, tensorflow"
"python, sql"
"excel, python, mysql"
"python, sql"
"pm, cra, crc, dm"
""
"sql, tableau"
"excel, sql, tableau"
"git, python, sql, aws, gcp"
"git, flask, google, cloud, platform, redis, python, aws, docker, postgresql, kubernetes"
"framer, github, jira, slack, react, node.js, python, typescript, aws, docker, opencv, numpy, react, native, figma, notion, nest.js"
"ai, python, ml, dl"
"linux, python, sql, aws, docker, shell, scripting, rdbms, elasticsearch"
""
"mfc, sql, tableau"
"ai, ml"
"ai, python, ml"
"c++, ai"
"python, aws, sql, gcp"
"pm, pl"
""
""
"excel, sql, risk, management, data, analyst, communication, presentation, power, bi"
"python, sql, go"
"ios, kotlin, python, mysql, hadoop, spark"
"python, aws, node.js, flask, nestjs"
"linux, windows, nas, dlp"
"pm, aws, git, docker, gcp"
"sql, db"
"linux, hadoop, unix, spark, docker"
"aws, sql"
"java, python, linux"
"python, aws, azure, gcp"
"mysql, python, aws, nodejs"
"java, python, aws, mysql"
"dbms, apache"
"python, aws, gcp"
"docker, kubernetes, airflow"
""
"python, framework"
"python, aws, sql"
"python, aws, sql"
"python, sql"
"python, sas"
"python, sas"
"python, aws, dw"
"sql, mysql, db"
"python, aws, airflow"
"java, python, hadoop, scala, hive"
"sap, erp, abap, sap, mm"
""
"linux, oracle"
"git, python, sql, aws"
"azure, c++, sharepoint"
"google, cloud, platform, hadoop, spark"
"linux, python, sql, aws, docker, shell, scripting, rdbms, elasticsearch"
"linux, oracle, java, python, etl, jsp, elasticsearch, spring, boot"
"java, kotlin, python, scala, sql, aws, gcp"
"android, ios, kotlin, objectivec, swift"
"react, python, kubernetes"
"java, python, aws, nodejs, spring, boot"
"git, android, hadoop, ios, spark, java, javascript, kotlin, python, swift, typescript, mvvm, aws, docker, spring, framework, android, studio, react.js, figma, kubernetes"
"gitlab, mysql, python, jenkins, docker"
"hadoop, linux, mongodb, mysql, spark, python, aws"
"python, sql, apache, spark"
"github, flask, c#, python, aws, docker, wpf, pacs, hl7, dicom"
"google, cloud, platform, hadoop, spark"
"aws, bgp, kubernetes"
"azure, .net, google, cloud, platform, hadoop, pytorch, tensorflow, java, python, shell, sql, google, analytics, aws, etl, nosql, vba, mssql"
"pytorch, tensorflow, python"
"expressjs, mongodb, react, javascript, kotlin, node.js, typescript, aws, html5, nosql, css3, nodejs, gcp, aac, react.js, mssql, react, native"
"git, python, sql, aws, gcp"
"git, python, sql, aws, gcp"
"linux, qa"
"linux, qa"
"react, node.js, aws, react.js, react, native, next.js, nest.js"
"git, spark, python, aws, docker"
"framer, github, jira, slack, react, node.js, python, typescript, aws, docker, opencv, numpy, react, native, figma, notion, nest.js"
