Preference_KOR
"데이터 모델링, 데이터 분석, 기상 데이터, 머신러닝"
"영어 커뮤니케이션, 블록체인, 리포트 작성, 머신러닝, 통계분석, 커뮤니케이션, 빅데이터 분석, 대회 수상자, 암호화폐"
"영어 커뮤니케이션, 블록체인, 리포트 작성, 머신러닝, 통계분석, 커뮤니케이션, 빅데이터 분석, 대회 수상자, 암호화폐"
"데이터 분석, 통계분석, 전산 지식"
"프레임워크, 데이터 시각화, 클라우드 경험"
"데이터 분석, 자율주행 데이터, 통계분석, 개발경험, 레이더 데이터, 이미지 데이터, 인공지능, 컴퓨터공학"
"데이터 모델링, 영어 커뮤니케이션, 모델 개발, 머신러닝, 컴퓨터과학, 통계학과, 클라우드 경험, 데이터 분석, 데이터 사이언티스트, 논리적 사고, 수학과"
"데이터 모델링, 문제 정의 및 해결, 구조적 사고, 가설 수립 및 검증, 데이터 분석"
"데이터 모델링, 적극적, 이슈 해결, 데이터 마이닝, 머신러닝, 정형 데이터, 주도적, 통계적 지식, 최신 기술 연구, 테스트 설계 분석, 모델 개발, 고객 분석, 모바일 데이터, 통계분석, 문제 정의 및 해결, 커뮤니케이션, 도메인 지식, 데이터 분석, 데이터 사이언스"
"논문 구현, 머신러닝, 데이터 분석, 통계분석, 인공지능"
"영어 커뮤니케이션, 모델 개발 및 배포, 데이터 마이닝, 논문 구현, 모델 개발, 상용 서비스 구현, 머신러닝, 통계분석, 커뮤니케이션, 도메인 지식, 실무경험"
"프레임워크, 딥러닝, 프로그래밍 언어, 통계적 지식, 경영정보학, 프로젝트 경험, 경제학, 경영학, 데이터 분석, 산업공학, 컴퓨터공학"
"최신 기술 연구, 도메인 지식, 프로덕트 데이터 분석"
"영어 커뮤니케이션, 모델 개발 및 배포, 데이터 마이닝, 논문 구현, 모델 개발, 상용 서비스 구현, 머신러닝, 통계분석, 커뮤니케이션, 도메인 지식, 실무경험"
"프레임워크, 고객 분석, 클라우드 경험, 분산 처리 시스템, 대회 수상자, 병렬 처리 시스템, 데이터 솔루션"
"통계적 지식, 모델 개발, 데이터 사이언스, 리딩 능력"
"커뮤니케이션, 프로젝트 경험, 클라우드 경험, 텍스트 데이터"
""
"데이터 모델링, 데이터 분석, 기상 데이터, 머신러닝"
"통계적 지식, 모델 개발, 데이터 사이언스, 리딩 능력"
"커뮤니케이션, 시스템 개발"
"알고리즘 개발, 테스트 설계 분석, 통계분석, 도메인 지식, 실무경험, 데이터 분석"
"프레임워크, 고객 분석, 클라우드 경험, 분산 처리 시스템, 대회 수상자, 병렬 처리 시스템, 데이터 솔루션"
"비정형 데이터, 데이터 분석, 코드 해석, 프로덕트 데이터 분석"
"데이터 모델링, 컴퓨터과학, 자연어 처리, 통계적 지식, 프로젝트 경험, 빅데이터 분석, 이미지 데이터, 데이터 분석, 데이터 가공"
"데이터 모델링, 인사이트 도출, 주도적, 최신 기술 연구, 책임감, 통계적 지식, 도전적, 데이터 로그 설계, 커뮤니케이션, 실무경험, 데이터 분석, 데이터 가공, 논리적 사고"
"데이터 가공, 프로젝트 경험, 리딩 능력"
"데이터 모델링, 포트폴리오, 자연어 처리, 프로젝트 경험, 플랫폼 구축, 데이터 분석, 데이터 가공, 데이터 솔루션"
"웹크롤링, 통계분석, 데이터 수집, 데이터 엔지니어링, 클라우드 경험, 경제학, 인프라 구축 운영"
"딥러닝, 논문 구현, 머신러닝, 최신 기술 연구, 영상 처리, 시계열 데이터, 이미지 데이터, 알고리즘 개발, 산업공학, 컴퓨터공학"
논문 구현
"딥러닝, 논문 구현, 머신러닝, 최신 기술 연구, 영상 처리, 시계열 데이터, 이미지 데이터, 알고리즘 개발, 산업공학, 컴퓨터공학"
데이터 레이블링
"프로덕트 데이터 분석, 테스트 설계 분석, 대시보드 구축, 클라우드 경험, 데이터 분석"
"딥러닝, 논문 구현, 머신러닝, 최신 기술 연구, 영상 처리, 시계열 데이터, 프로젝트 경험, 이미지 데이터, 알고리즘 개발, 산업공학, 컴퓨터공학"
