Preference_KOR
"데이터 분석, 머신러닝, 기상 데이터, 데이터 모델링"
"머신러닝, 블록체인, 커뮤니케이션, 빅데이터 분석, 대회 수상자, 리포트 작성, 통계분석, 암호화폐, 영어 커뮤니케이션"
"머신러닝, 블록체인, 커뮤니케이션, 빅데이터 분석, 대회 수상자, 리포트 작성, 통계분석, 암호화폐, 영어 커뮤니케이션"
"통계분석, 전산 지식, 데이터 분석"
"데이터 시각화, 클라우드 경험, 프레임워크"
"개발경험, 인공지능, 자율주행 데이터, 이미지 데이터, 데이터 분석, 레이더 데이터, 컴퓨터공학, 통계분석"
"머신러닝, 클라우드 경험, 통계학과, 논리적 사고, 모델 개발, 데이터 분석, 영어 커뮤니케이션, 수학과, 데이터 모델링, 데이터 사이언티스트, 컴퓨터과학"
"문제 정의 및 해결, 가설 수립 및 검증, 데이터 분석, 구조적 사고, 데이터 모델링"
"머신러닝, 최신 기술 연구, 통계분석, 모델 개발, 테스트 설계 분석, 이슈 해결, 데이터 마이닝, 모바일 데이터, 고객 분석, 데이터 분석, 정형 데이터, 적극적, 데이터 모델링, 커뮤니케이션, 데이터 사이언스, 통계적 지식, 도메인 지식, 문제 정의 및 해결, 주도적"
"논문 구현, 머신러닝, 인공지능, 데이터 분석, 통계분석"
"도메인 지식, 머신러닝, 논문 구현, 상용 서비스 구현, 커뮤니케이션, 모델 개발 및 배포, 영어 커뮤니케이션, 실무경험, 통계분석, 데이터 마이닝, 모델 개발"
"통계적 지식, 경영학, 프레임워크, 프로젝트 경험, 경영정보학, 데이터 분석, 딥러닝, 경제학, 컴퓨터공학, 프로그래밍 언어, 산업공학"
"도메인 지식, 최신 기술 연구, 프로덕트 데이터 분석"
"도메인 지식, 머신러닝, 논문 구현, 상용 서비스 구현, 커뮤니케이션, 모델 개발 및 배포, 영어 커뮤니케이션, 실무경험, 통계분석, 데이터 마이닝, 모델 개발"
"프레임워크, 데이터 솔루션, 분산 처리 시스템, 대회 수상자, 클라우드 경험, 고객 분석, 병렬 처리 시스템"
"통계적 지식, 모델 개발, 리딩 능력, 데이터 사이언스"
"커뮤니케이션, 프로젝트 경험, 텍스트 데이터, 클라우드 경험"
""
"데이터 분석, 머신러닝, 기상 데이터, 데이터 모델링"
"통계적 지식, 모델 개발, 리딩 능력, 데이터 사이언스"
"시스템 개발, 커뮤니케이션"
"도메인 지식, 테스트 설계 분석, 데이터 분석, 알고리즘 개발, 실무경험, 통계분석"
"프레임워크, 데이터 솔루션, 분산 처리 시스템, 대회 수상자, 클라우드 경험, 고객 분석, 병렬 처리 시스템"
"데이터 분석, 코드 해석, 비정형 데이터, 프로덕트 데이터 분석"
"통계적 지식, 데이터 가공, 프로젝트 경험, 빅데이터 분석, 이미지 데이터, 데이터 분석, 자연어 처리, 데이터 모델링, 컴퓨터과학"
"통계적 지식, 최신 기술 연구, 책임감, 주도적, 데이터 로그 설계, 데이터 가공, 커뮤니케이션, 인사이트 도출, 데이터 분석, 실무경험, 데이터 모델링, 도전적, 논리적 사고"
"데이터 가공, 프로젝트 경험, 리딩 능력"
"데이터 가공, 데이터 솔루션, 프로젝트 경험, 플랫폼 구축, 데이터 분석, 자연어 처리, 데이터 모델링, 포트폴리오"
"데이터 엔지니어링, 웹크롤링, 경제학, 인프라 구축 운영, 통계분석, 데이터 수집, 클라우드 경험"
"논문 구현, 최신 기술 연구, 머신러닝, 시계열 데이터, 이미지 데이터, 영상 처리, 알고리즘 개발, 딥러닝, 컴퓨터공학, 산업공학"
논문 구현
"논문 구현, 최신 기술 연구, 머신러닝, 시계열 데이터, 이미지 데이터, 영상 처리, 알고리즘 개발, 딥러닝, 컴퓨터공학, 산업공학"
데이터 레이블링
"프로덕트 데이터 분석, 테스트 설계 분석, 대시보드 구축, 데이터 분석, 클라우드 경험"
"논문 구현, 최신 기술 연구, 머신러닝, 프로젝트 경험, 시계열 데이터, 이미지 데이터, 영상 처리, 알고리즘 개발, 딥러닝, 컴퓨터공학, 산업공학"
