req,Kor,Eng,label
SQL을 활용한 데이터 추출 업무 경험 정형 및 비정형 데이터를 numpy pandas spark 등을 활용한 전처리 업무 경험 데이터 시각화 툴 PowerBI Tableau 활용 경험 데이터에 기반한 인사이트 도출 및 문제 해결 능력 쉽고 간결한 언어로 명확하게 전달할 수 있는 보고서 작성 및 커뮤니케이션 능력,"활용, 데이터, 추출, 업무, 경험, 정형, 및, 비정, 데이터, 등, 활용, 처리, 업무, 경험, 데이터, 시각, 툴, 활용, 경험, 데이터, 기반, 인사이트, 도출, 및, 문제, 해결, 능력, 언어, 전달, 수, 보고서, 작성, 및, 커뮤니케이션, 능력","sql, numpy, pandas, spark, powerbi, tableau",데이터 애널리스트
클라이언트 서버 좋은 디자인과 아키텍처를 추구하며 주어진 문제를 해결하기 위해 다양한 기술을 탐색하고 연구하는 적극적인 자세를 가지신 분기술적 정보를 다양한 직군의 동료에게 명확하게 설명할 수 있는 커뮤니케이션 능력을 가지신 분 게임기획 자신의 아이디어를 정확히 전달할 수 있는 문서 작성 이미지화 능력이 있으신 분주어진 문제를 해결하기 위해 다양한 기술을 탐색하고 연구하는 적극적인 자세를 가지신 분,"클라이언트, 서버, 디자인, 아키텍처, 추구, 문제, 해결, 위해, 기술, 탐색, 연구, 적극, 자세, 분, 기술, 정보, 직, 동료, 설명, 수, 커뮤니케이션, 능력, 분, 게임, 기획, 자신, 아이디어, 전달, 수, 문서, 작성, 이미지, 능력, 분주, 어진, 문제, 해결, 위해, 기술, 탐색, 연구, 적극, 자세, 분",,데이터 애널리스트
3년 이상 CSS컨설팅 신용평가모형 전략 개발 혹은 신용 데이터 분석 실무 경험을 가지신 분 Python SAS 등 데이터 분석언어를 활용하여 의사결정에 필요한 통계 리포트를 작성가능하신 분 저축은행 등 주요 금융기관과의 커뮤니케이션이 원활하신 분,"이상, 컨설팅, 신용, 평가, 모형, 전략, 개발, 신용, 데이터, 분석, 실무, 경험, 분, 등, 데이터, 분석, 언어, 활용, 의사결정, 통계, 리포트, 작성, 분, 저축은행, 등, 주요, 금융기관, 커뮤니케이션, 분","css, python, sas",데이터 애널리스트
SQL scripting에 익숙한 자 Data Handling 가능자 MS Office 활용능력 우수자 업무 적응 능력 우수자 성실하고 원활한 커뮤니케이션 능력 보유자,"자, 가능, 활용, 능력, 우수, 업무, 적응, 능력, 우수, 커뮤니케이션, 능력, 보유","sql, scripting, data, handling, ms, office",데이터 애널리스트
통계학 머신러닝 딥러닝에 대한 이해와 지식을 갖추신 분 데이터를 깊이 있게 관찰하고 이를 기반으로 비즈니스 문제를 해결하려는 의지와 역량을 갖은 분 4년 이상의 Python SQL등의 프로그래밍 언어를 활용하여 데이터를 분석 추출 가공 경험자 데이터 사이언스 Framework Pandas Scikit learn Tensorflow Pytorch 등 사용 능숙자 데이터 시각화 툴 Python 시각화 라이브러리 Tableau 등 활용에 능숙하신 분 ML process Data Collection EDA Preprocessing Feature Engineering Training Evaluation Serving 일련의 과정을 수행해본 경험과 높은 이해도를 갖추신 분,"통계학, 머신, 러닝, 딥, 러닝, 대한, 이해, 지식, 분, 데이터, 깊이, 관찰, 기반, 비즈니스, 문제, 해결, 의지, 역량, 갖은, 분, 이상, 등, 프로그래밍, 언어, 활용, 데이터, 분석, 추출, 가공, 경험, 데이터, 사이언스, 등, 사용, 능, 숙자, 데이터, 시각, 툴, 시각, 라이브러리, 등, 활용, 분, 일련, 과정, 수행, 경험, 이해도, 분","python, sql, framework, pandas, scikit, learn, tensorflow, pytorch, python, tableau, ml, process, data, collection, eda, preprocessing, feature, engineering, training, evaluation, serving",데이터 애널리스트
이런 분이 필요해요 Python을 활용하여 머신러닝 딥러닝 프로젝트 Prediction Anomaly detection Classification 경험자 Tensorflow 또는 Pytorch 사용 경험 Pandas Matplotlib등의 패키지를 활용한 데이터 정제 전처리 분석 모델링 시각화 경험을 보유하신 분 최신 기술에 관심이 많은 분 주도적으로 일을 만들고 책임감 있게 리드하시는 분 다른 직군과 함께 문제를 정의하고 해결책을 찾을 수 있는 분 업무에 꼭 필요한 기술 스택 입니다 Tensorflow Pytorch,"분, 활용, 머신, 러닝, 딥, 러닝, 프로젝트, 경험, 사용, 경험, 등, 패키지, 활용, 데이터, 정제, 처리, 분석, 모델링, 시각, 경험, 보유, 분, 최신, 기술, 관심, 분, 주도, 일, 책임감, 리드, 분, 다른, 직, 문제, 정의, 해결, 책, 수, 분, 업무, 꼭, 기술, 스택","python, prediction, anomaly, detection, classification, tensorflow, pytorch, pandas, matplotlib, tensorflow, pytorch",데이터 애널리스트
이런 분을 모시고 있어요 GCP Professional 자격증 보유자 Machine Learning Engineer 우대 GCP 기반 데이터 분석 및 ML AI 모델 구축 프로젝트 경력자 데이터 분석 방법 머신러닝 기술에 대한 높은 이해도 및 활용 능력 보유자 다양한 비정형 TEXT Image Sound 데이터 처리 유경험자 원활한 의사소통 및 협업 능력 보유하신 분,"분, 모시, 자격증, 보유, 우대, 기반, 데이터, 분석, 및, 모델, 구축, 프로젝트, 경력, 데이터, 분석, 방법, 머신, 러닝, 기술, 대한, 이해도, 및, 활용, 능력, 보유, 비정, 데이터, 처리, 유, 경험, 의사소통, 및, 협업, 능력, 보유, 분","gcp, professional, machine, learning, engineer, gcp, ml, ai, text, image, sound",데이터 애널리스트
이런 분을 찾고 있어요 4년제 대졸 이상 해외 출장에 결격사유가 없는 분 지방 근무 가능한 분 정보화사업 ISP ISMP PI DX Migration 등 컨설팅 관련 업무 경력 보유한 분 경력 고객 및 조직 내외 구성원들과의 대면 서면 커뮤니케이션 능력이 우수한 분 클라우드 산업에 대해 흥미와 관심이 높은 분 PPT 아래아한글 등 문서 작성이 우수한 분 기본적인 영어 독해 능력을 보유한 분 필수 지원서류 한글 이력서 및 자기소개서 지원동기 포함,"분, 대졸, 이상, 해외, 출장, 결격, 사유, 분, 지방, 근무, 분, 정보화, 사업, 등, 컨설팅, 관련, 업무, 경력, 보유, 분, 경력, 고객, 및, 조직, 내외, 구성원, 대면, 서면, 커뮤니케이션, 능력, 분, 클라우드, 산업, 대해, 흥미, 관심, 분, 아래아한글, 등, 문서, 작성, 분, 기본, 영어, 독해, 능력, 보유, 분, 필수, 지원, 서류, 한글, 이력서, 및, 자기, 소개, 지원, 동기, 포함","isp, ismp, pi, dx, migration, ppt",데이터 애널리스트
이런 분을 모시고 싶어요 3년 이상 경력 SQL 및 프로그래밍 언어 R Python 등 를 활용하여 데이터 분석이 가능한 분 비즈니스 인텔리전스 도구 및 리포팅 툴을 활용한 대시보드 구축 경험이 있으신 분 다양한 부서와 협업을 통해 본인의 분석 및 인사이트를 바탕으로 액션까지 경험해보신 분,"분, 모시, 이상, 경력, 및, 프로그래밍, 언어, 등, 를, 활용, 데이터, 분석, 분, 비즈니스, 인텔리전스, 도구, 및, 리, 포팅, 툴, 활용, 대시보드, 구축, 경험, 분, 부서, 협업, 통해, 본인, 분석, 및, 인사이트, 바탕, 액션, 경험, 분","sql, r, python",데이터 애널리스트
Essential Experiences Skillsets Personal Competencies Undertaken 3 7 years experience in a similar role or data analysis role Understanding on the multi cultural multi lingual and diverse environment Advanced MS Excel and SQL skills Strong analytical skills A keen eye for details and has a systematic approach in dealing with issues Desirable Personal Competencies and Attributes Business communication skills in both English and Korean Ability to be hands on particularly with data collation and preparation,,"essential, experiences, skillsets, personal, competencies, undertaken, years, experience, in, a, similar, role, or, data, analysis, role, understanding, on, the, multi, cultural, multi, lingual, and, diverse, environment, advanced, ms, excel, and, sql, skills, strong, analytical, skills, a, keen, eye, for, details, and, has, a, systematic, approach, in, dealing, with, issues, desirable, personal, competencies, and, attributes, business, communication, skills, in, both, english, and, korean, ability, to, be, hands, on, particularly, with, data, collation, and, preparation",데이터 애널리스트
데이터 분석 과제 기획 발굴을 통한 Biz Insight 도출 경험이 있는 분 비즈니스 문제 정의와 가설 수립 및 검증까지 단계를 설계할 수 있는 분 CRM 데이터를 기반으로 서비스 고도화를 위한 데이터 탐색 및 분석이 가능한 분 SQL MySQL MSSQL 등 을 사용하여 효율적으로 데이터 추출 가능한 분 분석 및 모델링 툴 Python R SQL Pandas TensorFlow Pytorch Spark 등 사용에 익숙한 분 빅데이터 환경 MySQL MariaDB NoSQL MongoDB 등 에서 데이터 수집 및 핸들링 경험이 있는 분 프로젝트 리딩 PM이나 PL 경험이 있는 분 데이터 분석 관련 실무 경력이 10년 이상이거나 그에 준하는 역량이 있는 분 의사결정을 진행하는 과정에서 효과적인 공감대 형성과 설득을 위한 정량 분석 인사이트 시각화 리포팅 가능한 분,"데이터, 분석, 과제, 기획, 발굴, 통한, 도출, 경험, 분, 비즈니스, 문제, 정의, 가설, 수립, 및, 검증, 단계, 설계, 수, 분, 데이터, 기반, 서비스, 고도화, 위, 데이터, 탐색, 및, 분석, 분, 등, 사용, 효율, 데이터, 추출, 분, 분석, 및, 모델링, 툴, 등, 사용, 분, 빅데이터, 환경, 등, 데이터, 수집, 및, 핸들링, 경험, 분, 프로젝트, 리딩, 이나, 경험, 분, 데이터, 분석, 관련, 실무, 경력, 이상, 거나, 그, 준, 역량, 분, 의사결정, 진행, 과정, 효과, 공감, 형성, 설득, 위, 정량, 분석, 인사이트, 시각, 리, 포팅, 분","biz, insight, crm, sql, mysql, mssql, python, r, sql, pandas, tensorflow, pytorch, spark, mysql, mariadb, nosql, mongodb, pm, pl",데이터 애널리스트
데이터 분석 관련 실무 경력 2년 이상이신 분데이터 분석 머신러닝 또는 데이터 기반 마케팅에 대한 전반적인 지식을 보유하신 분데이터 추출 전처리 분석 인사이트 도출까지 데이터 분석 전과정을 경험해보신 분SQL을 자유자재로 활용하여 Raw Data 처리 및 분석이 가능하신 분분석 결과를 통한 결과 도출 및 논리적인 개선사항을 제시할 수 있는 분데이터 시각화 Tableau Amplitude 등 에 대한 경험을 보유하신 분기획 마케팅 개발 등 다양한 직군과 원활한 커뮤니케이션 및 협업이 가능하신 분,"데이터, 분석, 관련, 실무, 경력, 이상, 분, 데이터, 분석, 머신, 러닝, 데이터, 기반, 마케팅, 대한, 전반, 지식, 보유, 분, 데이터, 추출, 처리, 분석, 인사이트, 도출, 데이터, 분석, 과정, 경험, 분, 자유, 자재, 활용, 처리, 및, 분석, 분, 분석, 결과, 통한, 결과, 도출, 및, 논리, 개선, 사항, 제시, 수, 분, 데이터, 시각, 등, 대한, 경험, 보유, 분, 기획, 마케팅, 개발, 등, 직, 커뮤니케이션, 및, 협업, 분","sql, raw, data, tableau, amplitude",데이터 애널리스트
이런 분을 찾고 있습니다 SQL Python R 등 분석 도구 활용 능력이 우수하신 분 데이터 추출 전처리 분석 인사이트 도출까지 데이터 분석 전과정을 경험해보신 분 데이터 기반의 문제 해결 능력과 논리적인 사고력을 가지신 분,"분, 등, 분석, 도구, 활용, 능력, 분, 데이터, 추출, 처리, 분석, 인사이트, 도출, 데이터, 분석, 과정, 경험, 분, 데이터, 기반, 문제, 해결, 능력, 논리, 사고력, 분","sql, python, r",데이터 애널리스트
데이터 분석 분야에서 6년 이상의 경험 팀 리딩 경험이 있으신 분 SQL을 활용한 데이터처리에 매우 능숙하신 분 Tableau Google Data Studio 등 리포트와 대시보드 작성 경험 Google Sheets MS Excel 등 에 능숙하신 분 Python R 등 데이터분석 관련 코드 작성 경험,"데이터, 분석, 분야, 이상, 경험, 팀, 리딩, 경험, 분, 활용, 데이터, 처리, 매우, 분, 등, 리포트, 대시보드, 작성, 경험, 등, 분, 등, 데이터, 분석, 관련, 코드, 작성, 경험","sql, tableau, google, data, studio, google, sheets, ms, excel, python, r",데이터 애널리스트
Reporting 능력 PPT Excel 데이터 분석 데이터 변화 양상 트렌드 파악 관리 및 QA Digital Marketing 분석 경험 웹분석 or 캠페인 분석 or Sales 분석 등 다양한 협업을 위한 원활한 커뮤니케이션,"능력, 데이터, 분석, 데이터, 변화, 양상, 트렌드, 파악, 관리, 및, 분석, 경험, 웹, 분석, 캠페인, 분석, 분석, 등, 협업, 위, 커뮤니케이션","reporting, ppt, excel, qa, digital, marketing, or, or, sales",데이터 애널리스트
사원 대리급 AA or GA 경험하신 분 웹사이트 기획 운영 개편 경험이 있으신 분 영어 커뮤니케이션이 가능하신 분 매우 꼼꼼하신 분,"사원, 대리, 경험, 분, 웹사이트, 기획, 운영, 개편, 경험, 분, 영어, 커뮤니케이션, 분, 매우, 분","aa, or, ga",데이터 애널리스트
이런 분을 모시고 싶어요 3년 이상의 데이터 분석 직무 경험을 보유한 분 데이터 툴 사용 능력이 우수하신 분 엑셀 SQL Tableau GA 파이썬 중 1개 이상 필수 데이터 분석에 기반해 문제를 정의하고 문제를 해결한 경험이 있는 분 커뮤니케이션 및 문서화 능력이 뛰어난 분,"분, 모시, 이상, 데이터, 분석, 직무, 경험, 보유, 분, 데이터, 툴, 사용, 능력, 분, 엑셀, 파이썬, 중, 개, 이상, 필수, 데이터, 분석, 기반, 문제, 정의, 문제, 해결, 경험, 분, 커뮤니케이션, 및, 문서, 능력, 분","sql, tableau, ga",데이터 애널리스트
학력 초대졸이상 경력 경력,"학력, 초대, 졸, 이상, 경력, 경력",,데이터 애널리스트
관련학과 졸업 BI R,"관련, 학과, 졸업","bi, r",데이터 애널리스트
Biomedical 데이터 이용한 데이터분석이 가능한 분 Python R 등의 프로그래밍 언어를 활용하여 빅데이터 분석이 가능한 분 동형암호기반 이해를 위한 수학적 기초 지식을 갖추신 분 새로운 분야의 데이터에 대한 관심과 열정이 있으신 분,"데이터, 이용, 데이터, 분석, 분, 등, 프로그래밍, 언어, 활용, 빅데이터, 분석, 분, 동형, 암호, 기반, 이해, 위, 수학, 기초, 지식, 분, 분야, 데이터, 대한, 관심, 열정, 분","biomedical, python, r",데이터 애널리스트
꼼꼼하고 책임감 있는 분 영어 문서 독해에 어려움이 없는 분 Excel 활용 능력이 우수한 분,"책임감, 분, 영어, 문서, 독해, 어려움, 분, 활용, 능력, 분",excel,데이터 애널리스트
2 5년의 데이터 분석 경험이 있는 분 SQL을 사용해 직접 데이터를 추출하고 정제할 수 있는 분 Excel Python R 를 사용해서 추출된 데이터를 자유롭게 가공하고 시각화 할 수 있는 분 서비스 핵심 지표를 설정하고 지표 성장을 위해 다양한 가설을 세우고 실험하여 직접 서비스를 개선해보신 분 가설 검증을 위한 A B 테스트를 설계하고 결과를 분석하여 프로덕트에 적용한 경험이 있으신 분 멀티 디바이스 모바일 앱 의 데이터를 통합하여 분석해본 경험이 있는 분 퍼널 분석 리텐션 분석 코호트 분석 등 프로덕트 데이터 분석 방법에 대한 이해도가 높으신 분 GA Amplitude 등을 이용하여 데이터 로그 설계 및 관리 경험이 있는 분 기초 통계학 지식이 있는 분,"데이터, 분석, 경험, 분, 사용, 직접, 데이터, 추출, 정제, 수, 분, 를, 사용, 추출, 데이터, 가공, 시각, 수, 분, 서비스, 핵심, 지표, 설정, 지표, 성장, 위해, 가설, 실험, 직접, 서비스, 개선, 분, 가설, 검증, 위, 테스트, 설계, 결과, 분석, 프로덕트, 적용, 경험, 분, 멀티, 디바이스, 모바일, 앱, 의, 데이터, 통합, 분석, 경험, 분, 퍼널, 분석, 리, 텐션, 분석, 코호트, 분석, 등, 프로, 덕트, 데이터, 분석, 방법, 대한, 이해도, 분, 등, 이용, 데이터, 로그, 설계, 및, 관리, 경험, 분, 기초, 통계학, 지식, 분","sql, excel, python, r, a, b, ga, amplitude",데이터 애널리스트
자격 조건 3년 이상의 데이터 엔지니어링 실무 경험 또는 이에 준하는 실력을 갖춘 분 분산 환경에서 대용량 데이터 Batch 처리 또는 비동기 데이터 처리 경험이 있으신 분 프로그래밍 언어와 데이터분석 라이브러리 한 개 이상 능숙하게 다룰 수 있는 분 AWS architecture 설계나 운영 경험이 있는 분,"자격, 조건, 이상, 데이터, 엔지니어링, 실무, 경험, 이, 준, 실력, 분, 분산, 환경, 용량, 데이터, 처리, 비, 동기, 데이터, 처리, 경험, 분, 프로그래밍, 언어, 데이터, 분석, 라이브러리, 개, 이상, 수, 분, 설계, 운영, 경험, 분","batch, aws, architecture",데이터 애널리스트
이런 분을 모시고 싶어요 5년 이상의 데이터 분석 및 실무 경력을 보유한 분 사업 관점에서 데이터 기반으로 실질적인 문제 해결과 지표 개선 과정을 경험한 분 SQL Excel 구글스프레드시트 파이썬 등을 활용하여 데이터 가공 추출 분석 리포팅에 능숙한 분 비즈니스 인텔리전스 도구 및 리포팅 툴을 활용한 대시보드 구축 경험이 있으신 분 다양한 부서와 협업을 통해 본인의 분석 및 인사이트를 바탕으로 액션까지 경험해보신 분,"분, 모시, 이상, 데이터, 분석, 및, 실무, 경력, 보유, 분, 사업, 관점, 데이터, 기반, 실질, 문제, 해결, 지표, 개선, 과정, 경험, 분, 구글, 스프레드시트, 파이썬, 등, 활용, 데이터, 가공, 추출, 분석, 리, 포팅, 분, 비즈니스, 인텔리전스, 도구, 및, 리, 포팅, 툴, 활용, 대시보드, 구축, 경험, 분, 부서, 협업, 통해, 본인, 분석, 및, 인사이트, 바탕, 액션, 경험, 분","sql, excel",데이터 애널리스트
7년 이상 데이터 분석 경험이 있는 분 데이터 분석팀이나 서비스 전반을 리딩한 경험이 있는 분 SQL Excel Python R 등의 기술적 피드백이 가능한 분 서비스 핵심 지표를 설정하고 지표 성장을 위해 다양한 가설을 세우고 실험하여 직접 서비스를 개선해보신 분 가설 검증을 위한 A B 테스트를 설계하고 결과를 분석하여 프로덕트에 적용한 경험이 있으신 분 통계 기반으로 인과추론 및 데이터 분석이 가능한 분 멀티 디바이스 모바일 앱 의 데이터를 통합하여 분석해본 경험이 있는 분 GA Amplitude 등을 이용하여 데이터 로그 설계 및 관리 경험이 있는 분 퍼널 분석 리텐션 분석 코호트 분석 등 프로덕트 데이터 분석 방법에 대한 이해도가 높으신 분,"이상, 데이터, 분석, 경험, 분, 데이터, 분석, 팀, 서비스, 전반, 리딩, 경험, 분, 등, 기술, 피드백, 분, 서비스, 핵심, 지표, 설정, 지표, 성장, 위해, 가설, 실험, 직접, 서비스, 개선, 분, 가설, 검증, 위, 테스트, 설계, 결과, 분석, 프로덕트, 적용, 경험, 분, 통계, 기반, 인과, 추론, 및, 데이터, 분석, 분, 멀티, 디바이스, 모바일, 앱, 의, 데이터, 통합, 분석, 경험, 분, 등, 이용, 데이터, 로그, 설계, 및, 관리, 경험, 분, 퍼널, 분석, 리, 텐션, 분석, 코호트, 분석, 등, 프로, 덕트, 데이터, 분석, 방법, 대한, 이해도, 분","sql, excel, python, r, a, b, ga, amplitude",데이터 애널리스트
1 DA BI 관련 업무 경력 4년 이상이신 분2 SQL 빅쿼리 Python 등을 활용해 문제 해결을 위한 가설 설정 데이터 추출 가공 분석 보고서 작성까지 비즈니스 분석 전체 과정에 대한 경험이 많은 분3 서비스 분석방법 Cohort Funnel A B Test 등 에 대한 경험이 있는 분4 서비스 개선 또는 비즈니스 방향 도출 업무 경험이 있는 분5 구조적 사고 기반의 PPT Documentation 및 커뮤니케이션 역량을 갖추신 분,"관련, 업무, 경력, 이상, 분, 빅, 쿼리, 등, 활용, 문제, 해결, 위, 가설, 설정, 데이터, 추출, 가공, 분석, 보고서, 작성, 비즈니스, 분석, 전체, 과정, 대한, 경험, 분, 서비스, 분석, 방법, 등, 대한, 경험, 분, 서비스, 개선, 비즈니스, 방향, 도출, 업무, 경험, 분, 구조, 사고, 기반, 및, 커뮤니케이션, 역량, 분","da, bi, sql, python, cohort, funnel, a, b, test, ppt, documentation",데이터 애널리스트
CRC 및 간호 경험자 또는 의학 용어에 익숙한 자 임상시험 Data Handling 가능자 MS Office 활용능력 우수자 업무 적응 능력 우수자 성실하고 원활한 커뮤니케이션 능력 보유자,"및, 간호, 경험, 의학, 용어, 자, 임상시험, 가능, 활용, 능력, 우수, 업무, 적응, 능력, 우수, 커뮤니케이션, 능력, 보유","crc, data, handling, ms, office",데이터 애널리스트
MS Office 활용 능력 상 엑셀 파워포인트 데이터 분석 경력 1년 이상,"활용, 능력, 상, 엑셀, 파워포인트, 데이터, 분석, 경력, 이상","ms, office",데이터 애널리스트
3년 이상의 데이터 분석 관련 실무 경험이 있는 분 숫자와 데이터를 바탕으로 논리적 추론 및 인사이트를 도출하여 문제를 해결해 본 경험이 있으신 분 데이터 분석 툴 Excel SQL 등 활용이 능숙한 분 배민B마트 배민스토어 및 물류 센터에 대한 관심이나 이해가 있으신 분,"이상, 데이터, 분석, 관련, 실무, 경험, 분, 숫자, 데이터, 바탕, 논리, 추론, 및, 인사이트, 도출, 문제, 해결, 경험, 분, 데이터, 분석, 툴, 등, 활용, 분, 배민, 마트, 배민, 스토어, 및, 물류, 센터, 대한, 관심, 이해, 분","excel, sql, b",데이터 애널리스트
SQL을 기반으로 데이터를 추출 분석하고 경영진의 의사결정에 필요한 정보를 체계화하실 수 있는 분 논리적 사고와 오너십을 바탕으로 Data Driven Business Solution을 도출 실행 모니터링한 경험이 있으신 분,"기반, 데이터, 추출, 분석, 경영, 진의, 의사결정, 정보, 체계, 수, 분, 논리, 사고, 십, 바탕, 도출, 실행, 모니터링, 경험, 분","sql, data, driven, business, solution",데이터 애널리스트
통계학 및 유관분야 석사 이상의 학위 소지자이어야 합니다 통계 이론에 대한 높은 수준의 이해가 필요합니다 SAS R Python 등과 같은 통계 분석 프로그램을 능숙하게 활용할 수 있어야 합니다 SQL을 사용하여 자유롭게 데이터를 추출하고 처리할 수 있는 능력이 필요합니다 복잡하고 다양한 데이터셋을 정제하여 교보라이프플래닛생명의 사업 상의 문제를 진단하고 해결할 수 있는 능력이 필요합니다 데이터 분석을 통해 비즈니스 의사결정에 방향성을 제시할 수 있는 결과를 도출하는 능력이 있어야 합니다 데이터 분석 결과를 통계를 모르는 동료들에게 이해하기 쉽도록 설명할 수 있는 문서 작성 능력 및 커뮤니케이션 능력이 필요합니다,"통계학, 및, 유관, 분야, 석사, 이상, 학위, 소지, 통계, 이론, 대한, 수준, 이해, 등, 통계, 분석, 프로그램, 활용, 수, 사용, 데이터, 추출, 처리, 수, 능력, 데이터, 셋, 정제, 교보, 라이프, 닛, 생명, 사업, 상의, 문제, 진단, 해결, 수, 능력, 데이터, 분석, 통해, 비즈니스, 의사결정, 방향성, 제시, 수, 결과, 도출, 능력, 데이터, 분석, 결과, 통계, 동료, 이해, 설명, 수, 문서, 작성, 능력, 및, 커뮤니케이션, 능력","sas, r, python, sql",데이터 애널리스트
그래서 아래 기준에 잘 맞는 분을 찾습니다 1 적어도 하나 이상의 layer1 or layer2 블록체인의 로우 데이터 block transaction 등 구조를 이해할 수 있습니다 2 데이터 엔지니어와 협업하면서 필요로 하는 데이터를 기획하고 Business Intelligence 대시보드를 구축해본 경험이 있습니다 3 SQL을 자유자재로 사용할 줄 알아야 합니다 적어도 https towardsdatascience com your guide to basic sql while learning ethereum at the same time 9eac17a05929 에 있는 기본 함수들을 100번 이상 사용해보신 분이어야 합니다 4 Etherscan을 읽고 이해하실 수 있습니다 5 빠르게 발전하는 블록체인 크립토 산업을 빠르게 이해할 수 있는 높은 러닝커브를 가지고 있습니다,"아래, 기준, 분, 하나, 이상, 블록, 체인, 로우, 데이터, 등, 구조, 이해, 수, 데이터, 엔지니어, 협업, 필요, 데이터, 기획, 대시보드, 구축, 경험, 자유, 자재, 사용, 줄, 기본, 함수, 번, 이상, 사용, 이해, 수, 발전, 블록, 체인, 크립, 토, 산업, 이해, 수, 러닝, 커브, 가지","layer, or, layer, block, transaction, business, intelligence, sql, https, towardsdatascience, com, your, guide, to, basic, sql, while, learning, ethereum, at, the, same, time, eac, a, etherscan",데이터 애널리스트
이런 동료를 찾습니다 2년 이상의 유관 업무 경력이 있으신 분 SQL NoSQL Python R 등 데이터 분석 툴 사용에 능숙하며 데이터 시각화 툴을 활용해 대시보드 구축이 가능하신 분 데이터 추출 전처리 분석 인사이트 도출까지 데이터 분석 전 과정을 경험해보신 분 문제 정의 기획 데이터 수집 전처리 분석 모델링이 가능하신 분 데이터를 관리 및 분석 프로세스에서 다양한 기술을 적용할 수 있는 분 데이터 추세와 패턴을 알아볼 수 있으며 데이터를 사용하여 유용하고 실행 가능한 결과를 생성할 수 있는 분 비즈니스의 최전선에서 데이터 기반의 설득력을 통해 혁신을 만들어 내고 싶은 분 기획 운영 개발 등 다양한 직군과 원활한 커뮤니케이션 및 협업이 가능하신 분,"동료, 이상, 유관, 업무, 경력, 분, 등, 데이터, 분석, 툴, 사용, 데이터, 시각, 툴, 활용, 대시보드, 구축, 분, 데이터, 추출, 처리, 분석, 인사이트, 도출, 데이터, 분석, 전, 과정, 경험, 분, 문제, 정의, 기획, 데이터, 수집, 처리, 분석, 모델링, 분, 데이터, 관리, 및, 분석, 프로세스, 기술, 적용, 수, 분, 데이터, 추세, 패턴, 수, 데이터, 사용, 실행, 결과, 생, 수, 분, 비즈니스, 최전선, 데이터, 기반, 설득, 통해, 혁신, 분, 기획, 운영, 개발, 등, 직, 커뮤니케이션, 및, 협업, 분","sql, nosql, python, r",데이터 애널리스트
해당경력 4년 이상 12년 이하 대리 과장급 사업 기획조직 등 타 팀과의 긴밀한 협업 및 의사소통 능력 데이터 분석 모델링을 위한 Python중급 이상 프로그래밍 능력 ML DL 알고리즘 이해 및 활용 능력 고객 패턴 수요 예측 서비스 추천 로그 분석 정보 검색 등 분석 활용 경험 Legacy 데이터 구조 분석 및 SQL 활용,"해당, 경력, 이상, 이하, 대리, 과장, 사업, 기획, 조직, 등, 타, 팀, 협업, 및, 의사소통, 능력, 데이터, 분석, 모델링, 위, 중, 이상, 프로그래밍, 능력, 알고리즘, 이해, 및, 활용, 능력, 고객, 패턴, 수요, 예측, 서비스, 추천, 로그, 분석, 정보, 검색, 등, 분석, 활용, 경험, 데이터, 구조, 분석, 및, 활용","python, ml, dl, legacy, sql",데이터 애널리스트
이공계 석사 이상의 학위를 취득하신 분 졸업예정자도 지원 가능하나 졸업증 취득 후 병무청에 편입 신청을 할 수 있습니다 병무청에서는 편 입 인원을 선착순으로 제한하고 있으므로 졸업자부터 우선하여 신청됩니다 따라서 예정자도 졸업증 취득 후 편입신청은 가능하나 선착순 마감이 되었을 경우 2023년 편입은 불가할 수 있으나 그러한 경우 올 12월에 2024년 T O를 받아서 편입 신청이 가능한 점 참조 부탁드립니다 SQL을 사용하여 원하는 데이터 추출 및 가공 Python R 활용 역량 Tableau PowerBI 등 BI 툴을 사용한 시각화 경험 통계 및 ML 알고리즘 지식 보유 논문 특허 보고서 제안서 작성 경험,"이공, 석사, 이상, 학위, 취득, 분, 졸업, 예정자, 지원, 졸업, 증, 취득, 후, 병무청, 편입, 신청, 수, 병무청, 편, 입, 인원, 선착순, 제한, 졸업, 신청, 따라서, 예정자, 졸업, 증, 취득, 후, 편입, 신청, 선착순, 마감, 경우, 편입, 수, 경우, 를, 편입, 신청, 점, 참조, 사용, 데이터, 추출, 및, 가공, 활용, 역량, 등, 툴, 사용, 시각, 경험, 통계, 및, 알고리즘, 지식, 보유, 논문, 특허, 보고서, 제안, 작성, 경험","t, o, sql, python, r, tableau, powerbi, bi, ml",데이터 애널리스트
국내외 4년제 대학 관련학과 졸업 악성코드 분석 취약점 분석 등 관련 업무 수행 경험자 분석 리포트 작성 등 문서 작성 유경험자 의사소통이 원활하고 타부서와 협업을 바탕으로 커뮤니케이션 역량 보유 관련 경력 3년 이상,"국내외, 대학, 관련, 학과, 졸업, 악성코드, 분석, 취약점, 분석, 등, 관련, 업무, 수행, 경험, 분석, 리포트, 작성, 등, 문서, 작성, 유, 경험, 의사소통, 부서, 협업, 바탕, 커뮤니케이션, 역량, 보유, 관련, 경력, 이상",,데이터 애널리스트
